usuario,filme,nota
Critico_Generoso_001,"Barbarian Invasions, The (Les invasions barbares) (2003)",5.0
Critico_Generoso_001,You Got Served (2004),4.0
Critico_Generoso_001,Ed Wood (1994),4.0
Critico_Generoso_001,Prey for Rock & Roll (2003),4.0
Critico_Generoso_001,"Man Without a Past, The (Mies vailla menneisyyttä) (2002)",4.5
Critico_Generoso_001,"Air Up There, The (1994)",5.0
Critico_Generoso_001,"McFarland, USA (2015)",5.0
Critico_Generoso_001,All Roads Lead to Rome (2016),5.0
Critico_Generoso_001,Space Jam (1996),3.5
Critico_Generoso_001,Shrek the Halls (2007),4.0
Critico_Generoso_001,How to Make an American Quilt (1995),4.5
Critico_Generoso_001,Fur: An Imaginary Portrait of Diane Arbus (2006),5.0
Critico_Generoso_001,96 Minutes (2011) ,3.5
Critico_Generoso_001,My Tutor (1983),4.5
Critico_Generoso_001,"Trip, The (2002)",3.5
Critico_Generoso_001,Yojimbo (1961),4.5
Critico_Generoso_001,Guy X (2005),4.0
Critico_Generoso_001,"Devil Wears Prada, The (2006)",5.0
Critico_Generoso_001,Far and Away (1992),3.5
Critico_Generoso_001,Daffy Duck's Quackbusters (1988),4.0
Critico_Generoso_001,"Salton Sea, The (2002)",4.5
Critico_Generoso_001,Dracula 2000 (2000),4.5
Critico_Generoso_001,Takers (2010),5.0
Critico_Generoso_001,Crossroads (2002),4.0
Critico_Generoso_001,Crazy/Beautiful (2001),5.0
Critico_Generoso_001,Ponette (1996),5.0
Critico_Generoso_001,Fuzz (1972),5.0
Critico_Generoso_001,Lovers & Leavers (Kuutamolla) (2002),4.5
Critico_Generoso_001,Hellraiser (1987),4.0
Critico_Generoso_001,"Emperor and the Assassin, The (Jing ke ci qin wang) (1999)",4.5
Critico_Generoso_002,Fletch Lives (1989),4.5
Critico_Generoso_002,Underworld: Blood Wars (2016),4.0
Critico_Generoso_002,Guardians (2016),4.0
Critico_Generoso_002,Meatballs (1979),5.0
Critico_Generoso_002,Good Will Hunting (1997),4.5
Critico_Generoso_002,"Long Goodbye, The (1973)",4.0
Critico_Generoso_002,Veronica Mars (2014),3.5
Critico_Generoso_002,Ikiru (1952),4.5
Critico_Generoso_002,"Guard, The (2011)",4.0
Critico_Generoso_002,"Big Tease, The (1999)",4.5
Critico_Generoso_002,The D Train (2015),4.5
Critico_Generoso_002,The Dark Tower (2017),4.5
Critico_Generoso_002,Fracture (2007),4.5
Critico_Generoso_002,Camp (2003),4.0
Critico_Generoso_002,Shin Godzilla (2016),5.0
Critico_Generoso_002,Junior and Karlson (1968),5.0
Critico_Generoso_002,Drop Dead Gorgeous (1999),3.5
Critico_Generoso_002,Get Shorty (1995),4.0
Critico_Generoso_002,The Gracefield Incident (2015),4.5
Critico_Generoso_002,Weekend at Bernie's (1989),5.0
Critico_Generoso_002,"Conjuring, The (2013)",4.0
Critico_Generoso_002,Papillon (1973),5.0
Critico_Generoso_002,Date with an Angel (1987),4.5
Critico_Generoso_002,Maid in Manhattan (2002),4.5
Critico_Generoso_002,Cutter's Way (1981),4.0
Critico_Generoso_002,Into the Arms of Strangers: Stories of the Kindertransport (2000),5.0
Critico_Generoso_002,Beaches (1988),4.5
Critico_Generoso_002,Oldboy (2013),4.5
Critico_Generoso_002,Hall Pass (2011),5.0
Critico_Generoso_002,My Cousin Vinny (1992),5.0
Critico_Generoso_003,Mighty Morphin Power Rangers: The Movie (1995),4.5
Critico_Generoso_003,Death Wish 4: The Crackdown (1987),5.0
Critico_Generoso_003,Saving Christmas (2014),3.5
Critico_Generoso_003,Allan Quatermain and the Lost City of Gold (1987),3.5
Critico_Generoso_003,"Wonderful, Horrible Life of Leni Riefenstahl, The (Macht der Bilder: Leni Riefenstahl, Die) (1993)",5.0
Critico_Generoso_003,Rabbit-Proof Fence (2002),3.5
Critico_Generoso_003,Lupin III: The Castle Of Cagliostro (Rupan sansei: Kariosutoro no shiro) (1979),3.0
Critico_Generoso_003,It Follows (2014),4.0
Critico_Generoso_003,Cecil B. DeMented (2000),4.0
Critico_Generoso_003,Armour of God II: Operation Condor (Operation Condor) (Fei ying gai wak) (1991),4.5
Critico_Generoso_003,Libre et assoupi (2014),4.5
Critico_Generoso_003,Get Him to the Greek (2010),4.5
Critico_Generoso_003,Planet Terror (2007),4.5
Critico_Generoso_003,Don't Breathe (2016),4.5
Critico_Generoso_003,Malèna (2000),4.5
Critico_Generoso_003,Assault on Precinct 13 (1976),5.0
Critico_Generoso_003,Invasion of the Body Snatchers (1956),4.5
Critico_Generoso_003,Still Alice (2014),5.0
Critico_Generoso_003,Meatballs (1979),5.0
Critico_Generoso_003,Colors (1988),5.0
Critico_Generoso_003,Jump Tomorrow (2001),4.0
Critico_Generoso_003,"Single Girl, A (Fille seule, La) (1995)",5.0
Critico_Generoso_003,Hannibal (2001),4.0
Critico_Generoso_003,Heartbreak Ridge (1986),4.0
Critico_Generoso_003,"Chronicles of Riddick, The (2004)",4.5
Critico_Generoso_003,Trail of the Pink Panther (1982),3.5
Critico_Generoso_003,I Spit on Your Grave (Day of the Woman) (1978),4.5
Critico_Generoso_003,Men at Work (1990),4.0
Critico_Generoso_003,Scooby-Doo Goes Hollywood (1979),4.5
Critico_Generoso_003,Woyzeck (1979),5.0
Critico_Generoso_004,Thirteen Ghosts (a.k.a. Thir13en Ghosts) (2001),4.5
Critico_Generoso_004,To Kill a Mockingbird (1962),5.0
Critico_Generoso_004,Drag Me to Hell (2009),4.0
Critico_Generoso_004,Easy Money (1983),4.0
Critico_Generoso_004,Interview (2007),4.0
Critico_Generoso_004,"Program, The (1993)",4.0
Critico_Generoso_004,Sideways (2004),5.0
Critico_Generoso_004,Star Trek: First Contact (1996),3.5
Critico_Generoso_004,"Wedding Date, The (2005)",5.0
Critico_Generoso_004,It's a Boy Girl Thing (2006),4.5
Critico_Generoso_004,Dear God (1996),4.0
Critico_Generoso_004,"Secret Garden, The (1993)",5.0
Critico_Generoso_004,"Secret Life of Words, The (2005)",4.5
Critico_Generoso_004,"Express, The (2008)",5.0
Critico_Generoso_004,Before Midnight (2013),5.0
Critico_Generoso_004,"School of Flesh, The (École de la chair, L') (1998)",4.5
Critico_Generoso_004,Metal: A Headbanger's Journey (2005),4.0
Critico_Generoso_004,"Day After, The (1983)",5.0
Critico_Generoso_004,B/W (2015),4.5
Critico_Generoso_004,In the Loop (2009),4.5
Critico_Generoso_004,Fatal Beauty (1987),4.5
Critico_Generoso_004,Dad (1989),4.5
Critico_Generoso_004,Singles (1992),5.0
Critico_Generoso_004,But I'm a Cheerleader (1999),5.0
Critico_Generoso_004,Hamlet (1990),5.0
Critico_Generoso_004,Patlabor 2: The Movie (1993),4.5
Critico_Generoso_004,Dudley Do-Right (1999),4.5
Critico_Generoso_004,3000 Miles to Graceland (2001),5.0
Critico_Generoso_004,Wiener-Dog (2016),5.0
Critico_Generoso_004,"Negotiator, The (1998)",4.5
Critico_Generoso_005,Half Baked (1998),4.5
Critico_Generoso_005,Funny Bones (1995),3.5
Critico_Generoso_005,"Handmaid's Tale, The (1990)",4.5
Critico_Generoso_005,Spellbound (2011),5.0
Critico_Generoso_005,Music and Lyrics (2007),4.0
Critico_Generoso_005,Earth (2007),3.5
Critico_Generoso_005,"Notebook, The (2004)",3.5
Critico_Generoso_005,Mission: Impossible III (2006),4.5
Critico_Generoso_005,"Hurricane, The (1999)",4.0
Critico_Generoso_005,Mildred Pierce (1945),4.5
Critico_Generoso_005,"Christmas Carol, A (1977)",5.0
Critico_Generoso_005,Staying Alive (1983),4.0
Critico_Generoso_005,Tilt (2011),5.0
Critico_Generoso_005,Kuffs (1992),3.5
Critico_Generoso_005,"Alamo, The (1960)",3.0
Critico_Generoso_005,Miss Meadows (2014),4.5
Critico_Generoso_005,Less Than Zero (1987),4.0
Critico_Generoso_005,Toni Erdmann (2016),4.5
Critico_Generoso_005,Used People (1992),4.0
Critico_Generoso_005,Deliver Us from Evil (2014),4.0
Critico_Generoso_005,"Return of the Living Dead, The (1985)",4.0
Critico_Generoso_005,"Ant Bully, The (2006)",4.5
Critico_Generoso_005,"Wackness, The (2008)",5.0
Critico_Generoso_005,Marty (1955),4.5
Critico_Generoso_005,Money Train (1995),4.5
Critico_Generoso_005,Homeward Bound: The Incredible Journey (1993),4.5
Critico_Generoso_005,1776 (1972),4.0
